;Id;Метро;Расстояние до метро;Время до метро;Улица;Дом;Стены;Комнат;Общая площадь;Жилая площадь;Кухня;Этаж;Этажность;Лифт (пасс.);Лифт (груз.);Балкон;Лоджия;С/у (разд.);С/у (совм.);lng;lat;Цена (руб.);валюта цены;Новостройка
0;228082;Цветной бульвар;671;10;переулок Пушкарев;19;кирпич;3;67.0;58.0;0.0;3;3;0;0;0;0;0;1;55.769043;37.630122;38,601,840;1;0
1;234279;Маяковская;274;4;1-я Тверская-Ямская улица;11;нет данных;3;120.0;72.0;23.0;7;7;1;0;1;0;1;1;55.772578;37.591027000000004;62,000,000;2;0
2;243558;Водный стадион;1779;27;Береговая улица;4К1;не заполнено;3;120.0;90.0;12.0;1;7;2;1;0;0;1;1;55.827737;37.467284;77,203,680;1;0
3;262790;Кропоткинская;736;11;Молочный переулок;7;монолит-кирпич;7;517.0;517.0;0.0;3;5;1;0;0;0;0;0;55.738992;37.600666;1,125,887,000;1;0
4;262796;Кропоткинская;736;11;Молочный переулок;7;монолит-кирпич;5;260.0;260.0;0.0;3;3;1;0;0;0;0;0;55.738992;37.600666;585,461,240;1;0
5;436055;Кропоткинская;214;3;улица Остоженка;3/14;кирпич;4;158.0;108.0;22.0;4;6;2;0;0;0;0;2;55.74385699999999;37.60196;99,000,000;2;0
6;450637;Кропоткинская;748;11;Бутиковский переулок;5;монолит-кирпич;5;277.3;240.0;0.0;3;6;1;1;1;0;0;2;55.738622;37.602813;643,364,000;1;0
7;453057;Киевская;767;12;Саввинская набережная;7С3;кирпич;4;171.5;160.0;0.0;11;11;1;0;1;0;0;2;55.736943999999994;37.570483;128,672,800;1;0
8;489992;Студенческая;549;8;Студенческая улица;20к1;не заполнено;3;110.0;1.0;1.0;3;15;1;1;0;1;0;2;55.743683999999995;37.548851;70,000,000;2;0
9;566149;Рижская;225;3;проспект Мира;79;кирпич;4;102.0;70.0;12.0;2;7;1;0;0;0;1;0;55.790772;37.634245;19,000,000;2;0
10;566163;Проспект Мира;1037;16;проспект Мира;79;нет данных;4;102.0;76.0;12.0;2;7;1;0;0;0;1;0;55.791132;37.634190999999994;19,000,000;2;0
11;580302;Сокол;1076;16;улица Брюллова;7;монолит;5;192.0;127.7;25.0;1;2;0;0;1;0;0;2;55.803302;37.498519;353,843,766;1;0
12;644200;Арбатская;551;8;Скатертный переулок;5А;кирпич;4;192.0;120.0;25.0;3;6;1;0;0;0;2;2;55.755382999999995;37.596579;138,000,000;2;0
13;706513;Красные ворота;190;3;Садовая-Спасская улица;19к3;нет данных;5;143.0;95.0;25.0;8;8;1;0;0;0;0;2;55.770006;37.647467999999996;65,955,300;1;0
14;720125;Улица 1905 года;1772;27;3-я Красногвардейская улица;3;монолит;4;127.6;80.6;40.0;5;20;2;2;0;2;1;1;55.756427;37.537317;64,336,400;1;0
15;721461;Смоленская;1289;19;1-й переулок Тружеников;15;монолит-кирпич;4;269.0;269.0;0.0;7;8;1;1;0;0;0;0;55.737593000000004;37.573778999999995;351,888,730;1;0
16;762460;Багратионовская;876;13;Большая Филевская улица;16к1;кирпич;3;86.0;50.0;14.5;6;9;1;1;0;1;1;0;55.750651;37.503037;39,047,940;1;0
17;767196;Пушкинская;644;10;Тверской бульвар;16;монолит-кирпич;5;160.0;160.0;0.0;8;9;1;1;0;0;0;0;55.760013;37.601753;183,192,130;1;0
18;770072;Арбатская;1995;30;Земледельческий переулок;14/17С1;панель;4;178.0;163.0;15.0;2;3;1;0;0;0;0;1;55.740917;37.5789;131,125,400;1;0
19;782950;Фрунзенская;829;12;3-я Фрунзенская улица;5;кирпич;5;186.6;170.0;0.0;10;10;1;1;2;0;1;2;55.720028000000006;37.57881;323,965,942;1;0
20;783015;Тверская;1204;18;Большая Никитская улица;45;кирпич;5;200.0;170.0;0.0;5;7;1;0;1;0;0;2;55.757526;37.590632;321,682,000;1;0
21;821314;Аэропорт;651;10;Чапаевский переулок;3;не заполнено;4;179.0;110.0;60.0;8;22;4;2;0;0;0;2;55.798480000000005;37.520671;167,969,690;3;0
22;824586;Павелецкая;430;6;Большая Пионерская улица;20;монолит;6;353.0;300.0;30.0;5;6;2;1;1;2;2;2;55.727785;37.63394;353,850,200;1;0
23;846006;Бульвар Дмитрия Донского;7637;114;улица Захарьинские Дворики;3;панель;2;53.1;28.6;9.0;10;16;2;2;0;1;1;0;55.501488;37.575459;7,000,000;2;0
24;851766;Третьяковская;253;4;Голиковский переулок;15;монолит-кирпич;4;180.0;180.0;0.0;5;7;1;0;0;1;1;1;55.738758999999995;37.627633;193,009,200;1;0
25;880373;Маяковская;157;2;3-я Тверская-Ямская улица;10;монолит-кирпич;4;219.0;140.0;18.0;7;10;2;1;0;1;0;3;55.771530000000006;37.596992;176,088,727;1;0
26;889171;Смоленская;446;7;Малый Новопесковский переулок;8;не заполнено;3;135.0;90.0;20.0;4;30;2;1;0;0;0;2;55.749632999999996;37.577560999999996;192,172,827;1;0
27;896970;Арбатская;490;7;Большой Афанасьевский переулок;41;кирпич;5;206.7;154.8;18.0;3;4;1;1;1;0;0;2;55.750054000000006;37.596776;140,000,000;2;0
28;917973;Арбатская;372;6;Никитский бульвар;12;кирпич;5;292.0;180.0;15.0;7;7;1;0;1;0;2;0;55.755281999999994;37.600765;163,906,750;1;0
29;917980;Чистые пруды;453;7;Мясницкая улица;22;кирпич;5;265.0;170.0;12.0;4;4;0;0;0;0;2;0;55.761781000000006;37.63385;160,841,000;1;0
30;918384;Новокузнецкая;574;9;Большая Татарская улица;36;нет данных;4;100.0;67.0;12.0;4;6;1;0;2;0;0;1;55.737988;37.634046999999995;37,398,900;3;0
31;919297;Университет;1656;25;улица Косыгина;19;монолит-кирпич;6;260.0;260.0;0.0;4;6;1;1;0;0;0;3;55.705387;37.549893;514,691,200;1;0
32;919586;Красные ворота;584;9;улица Машкова;14;кирпич;4;142.0;142.0;0.0;2;5;1;0;0;0;0;0;55.763624;37.652014;160,841,000;1;0
33;919916;Арбатская;422;6;Большой Афанасьевский переулок;32/9;кирпич;6;278.0;278.0;0.0;3;8;1;1;0;0;1;2;55.750484;37.597594;411,752,960;1;0
34;933770;Университет;1656;25;улица Косыгина;19;монолит-кирпич;6;323.0;300.0;0.0;5;6;1;0;2;2;0;0;55.705387;37.549893;418,186,600;1;0
35;943341;Арбатская;993;15;Большая Никитская улица;45;монолит;5;198.0;0.0;0.0;5;7;0;0;0;0;0;0;55.757526;37.590632;321,682,000;1;0
36;946327;;0;0;улица Большая Дмитровка;20С2;кирпич;5;188.0;130.0;18.0;3;5;1;0;0;0;1;2;55.763052;37.613746;90,000,000;2;0
37;946650;Маяковская;274;4;1-я Тверская-Ямская улица;11;нет данных;3;97.0;83.0;10.0;6;8;1;0;1;0;0;1;55.772578;37.591027000000004;63,000,000;2;0
38;955655;;0;0;Минская улица;1А;не заполнено;4;250.0;125.0;45.0;4;6;1;1;1;0;0;2;55.718872;37.499893;300,339,000;1;0
39;965700;;0;0;Мосфильмовская улица;70к6;монолит-кирпич;4;187.0;130.0;50.0;3;17;4;2;1;0;0;2;55.716215000000005;37.508534999999995;132,532,984;1;0
40;975260;Трубная;105;2;Цветной бульвар;2;не заполнено;7;216.4;150.0;0.0;10;15;2;2;0;0;1;1;55.768207999999994;37.623393;154,916,194;1;0
41;992427;Менделеевская;78;1;Новослободская улица;33;кирпич;2;90.0;50.0;30.0;7;7;1;0;0;1;1;1;55.78219300000001;37.597944;21,900,000;2;0
42;993089;Киевская;414;6;набережная Тараса Шевченко;1/2;не заполнено;2;76.0;30.0;36.0;4;10;1;0;1;0;0;1;55.74629399999999;37.571929;35,000,000;2;0
43;1023066;Речной вокзал;613;9;Ленинградское шоссе;98К6;кирпич;4;173.0;160.0;0.0;13;15;0;0;1;0;1;1;55.858957999999994;37.471920000000004;70,770,040;1;0
44;1048847;Арбатская;993;15;Большая Никитская улица;45;монолит-кирпич;5;223.0;223.0;0.0;1;6;0;0;0;0;0;0;55.757526;37.590632;289,513,800;1;0
45;1048864;Арбатская;993;15;Большая Никитская улица;45;монолит-кирпич;5;550.0;550.0;0.0;6;6;0;0;0;0;0;0;55.757526;37.590632;1,093,718,800;1;0
46;1064408;Кропоткинская;949;14;улица Пречистенка;25;не заполнено;4;215.0;0.0;0.0;3;6;0;0;0;0;0;0;55.740522;37.591674;209,093,300;1;0
47;1066120;Октябрьское поле;2902;44;Живописная улица;3К1;монолит-кирпич;4;187.0;120.0;23.0;4;16;1;1;0;0;0;0;55.781271;37.453513;49,990,000;2;0
